LHNo,flagged,reasons,identity_sensitive,confidence,baseline_category,proposed_category,baseline_tags,proposed_tags,baseline_description,proposed_description,subject,date,filename
75-1086,True,description_error; low_confidence(0.72); doubts(1),False,0.72,Commerce & Business,Commerce & Business,carlton hotel; corning new york; historic downtown; black and white photograph; early 20th century architecture,carlton hotel; corning new york; historic downtown; black and white photograph; early 20th century architecture,"This black and white photograph shows the Carlton Hotel in Corning, NY, a distinctive Tudor-style building with white walls and dark timber framing, surrounded by pedestrians and industrial brick buildings with chimneys in the background.","This black and white photograph shows the Carlton Hotel in Corning, NY, a distinctive Tudor-style building with white walls and dark timber framing and multiple gabled sections, surrounded by pedestrians, with industrial brick buildings with chimneys in the background.","Carlton Hotel, Corning, N.Y.",NULL,lh-75-1086.jpg
75-1089,False,,False,0.92,Education,Education,corning free academy; historic building; clock tower; victorian architecture; black and white photograph,corning free academy; historic building; clock tower; victorian architecture; black and white photograph,"This black and white photograph shows the Corning Free Academy building in Corning, NY, a Victorian-era structure featuring distinctive architectural elements including multiple cupolas, a prominent clock tower, and ornate detailing, photographed during winter with bare trees visible in the foreground.","This black and white photograph shows the Corning Free Academy building in Corning, NY, a Victorian-era structure featuring distinctive architectural elements including multiple cupolas, a prominent clock tower, and ornate detailing, photographed during winter with bare trees visible in the foreground.",Corning Free Academy,NULL,lh-75-1089.jpg
75-1090,True,description_error; doubts(2),True,0.85,Education,Education,corning free academy; indoor event; group portrait; mid-20th century; black and white photograph,corning free academy; indoor event; group portrait; mid-20th century; black and white photograph,"A black and white photograph showing a group of adults and children standing together indoors at what appears to be a Corning Free Academy event, with framed artwork and educational displays visible on the walls behind them.","A black and white photograph showing a group of adults standing behind seated children indoors at what appears to be a Corning Free Academy event, with framed artwork and educational displays visible on the walls behind them.",Corning Free Academy,NULL,lh-75-1090.jpg
75-1091,False,,False,0.92,Commerce & Business,Commerce & Business,market street; dickinson house; corning new york; early 20th century; black and white photograph; historic downtown; streetcar; brick building,market street; dickinson house; corning new york; early 20th century; black and white photograph; historic downtown; streetcar; brick building,"A black and white photograph labeled ""Market Street, Showing Dickinson House, Corning, N.Y."" depicts a prominent four-story brick building with regular window patterns on Market Street, with a streetcar and pedestrians visible on the street level in what appears to be the early 20th century.","A black and white photograph labeled ""Market Street, Showing Dickinson House, Corning, N.Y."" depicts a prominent four-story brick building with regular window patterns on Market Street, with a streetcar and pedestrians visible on the street level in what appears to be the early 20th century.",Dickinson House,NULL,lh-75-1091.jpg
75-1092,True,category_change(Industry & Manufacturing -> Streetscapes & Architecture),False,0.85,Industry & Manufacturing,Streetscapes & Architecture,corning leader building; brick building; early 20th century architecture; downtown corning; black and white photograph,corning leader building; brick building; early 20th century architecture; downtown corning; black and white photograph,"The Evening Leader Building in Corning, New York, a three-story brick structure with classical architectural details, large multi-pane windows, and prominent signage reading ""EVENING LEADER"" and ""CORNING PRESS"" on its corner facade.","The Evening Leader Building in Corning, New York, a three-story brick structure with classical architectural details, large multi-pane windows, and prominent signage reading ""EVENING LEADER"" and ""CORNING PRESS"" on its corner facade.",Corning Leader Building,NULL,lh-75-1092.jpg
75-1093,False,,False,0.85,Sports & Recreation,Sports & Recreation,country club; neoclassical architecture; white columns; rural landscape; black and white photograph,country club; neoclassical architecture; white columns; rural landscape; black and white photograph,"This black and white photograph shows the Corning Country Club in Corning, N.Y., ""The Crystal City,"" featuring a neoclassical white building with prominent columns, a triangular pediment, and wraparound porches set against a forested hillside backdrop.","This black and white photograph shows the Corning Country Club in Corning, N.Y., ""The Crystal City,"" featuring a neoclassical white building with prominent columns, a triangular pediment, and wraparound porches set against a forested hillside backdrop.",Country Club,NULL,lh-75-1093.jpg
75-1094,False,,False,0.85,Sports & Recreation,Sports & Recreation,country club; neoclassical architecture; columned building; landscaped grounds; black and white photograph,country club; neoclassical architecture; columned building; landscaped grounds; black and white photograph,"A neoclassical-style country club building with prominent white columns, a triangular pediment, and manicured landscaping with white stones lining the grounds, photographed in black and white with forested hills visible in the background.","A neoclassical-style country club building with prominent white columns, a triangular pediment, and manicured landscaping with white stones lining the grounds, photographed in black and white with forested hills visible in the background.",Country Club,NULL,lh-75-1094.jpg
75-1095,False,,False,0.85,Industry & Manufacturing,Industry & Manufacturing,corning glass works; industrial complex; factory buildings; black and white photograph; mid-20th century,corning glass works; industrial complex; factory buildings; black and white photograph; mid-20th century,"A black and white photograph showing the Corning Glass Works industrial complex with multiple factory buildings, smokestacks, and manufacturing facilities set against rolling hills in the background.","A black and white photograph showing the Corning Glass Works industrial complex with multiple factory buildings, smokestacks, and manufacturing facilities set against rolling hills in the background.",Corning Glass Center Buildings,NULL,lh-75-1095.jpg
75-1096,False,,False,0.95,Industry & Manufacturing,Industry & Manufacturing,corning glass works; industrial factory; railroad tracks; black and white photograph; early 20th century,corning glass works; industrial factory; railroad tracks; black and white photograph; early 20th century,"This black and white photograph shows the Corning Glass Works facility in Corning, New York, featuring a large multi-story industrial building with numerous smokestacks, railroad tracks in the foreground, and various factory structures, as identified by the visible caption ""Corning Glass Works, largest in the Country, Corning, N.Y.""","This black and white photograph shows the Corning Glass Works facility in Corning, New York, featuring a large multi-story industrial building with numerous smokestacks, railroad tracks in the foreground, and various factory structures, as identified by the visible caption ""Corning Glass Works, largest in the Country, Corning, N.Y.""",Corning Glass Center Buildings,NULL,lh-75-1096.jpg
75-1097,True,description_error; low_confidence(0.72); doubts(1),False,0.72,Landscapes & Natural Features,Landscapes & Natural Features,scenic view; penn van; wooded road; curved path; black and white photograph,scenic view; penn van; wooded road; curved path; black and white photograph,"A black and white photograph labeled ""Scenic View near Penn Van, N.Y."" showing a curved dirt road lined with dense trees and vegetation on both sides, with what appears to be water visible through the trees on the left.","A black and white photograph labeled ""Scenic View near Penn Van, N.Y."" showing a curved paved road lined with dense trees and vegetation on both sides, with a body of water visible through the trees on the left.",NULL,NULL,lh-75-1097.jpg
75-1098,True,category_change(Glass & Decorative Arts -> Landscapes & Natural Features),False,0.85,Glass & Decorative Arts,Landscapes & Natural Features,denison park; pagoda; park pathway; landscaped grounds; black and white photograph,denison park; pagoda; park pathway; landscaped grounds; black and white photograph,"A black and white photograph of Denison Park in Corning, NY, showing a curved pathway leading toward an ornamental pagoda structure with a distinctive umbrella-like roof, surrounded by manicured landscaping and trees.","A black and white photograph of Denison Park in Corning, NY, showing a curved pathway leading toward an ornamental pagoda structure with a distinctive umbrella-like roof, surrounded by manicured landscaping and trees.","Denison Park, Corning, N.Y. ",NULL,lh-75-1098.jpg
75-1099,True,low_confidence(0.75); doubts(1),False,0.75,Streetscapes & Architecture,Streetscapes & Architecture,denison park; gazebo; pavilion; landscaped grounds; black and white photograph,denison park; gazebo; pavilion; landscaped grounds; black and white photograph,"This historical photograph shows Denison Park in Corning, N.Y., featuring manicured lawns, multiple gazebos and pavilions, mature trees, and a white tower structure, with hills visible in the background.","This historical photograph shows Denison Park in Corning, N.Y., featuring manicured lawns, multiple gazebos and pavilions, mature trees, and a white tower structure, with hills visible in the background.","Denison Park, Corning, N.Y. ",NULL,lh-75-1099.jpg
75-1101,False,,False,0.92,Industry & Manufacturing,Industry & Manufacturing,corning glass works; industrial buildings; smokestacks; american flag; black and white photograph,corning glass works; industrial buildings; smokestacks; american flag; black and white photograph,"A black and white photograph showing the Corning Glass Works industrial complex with distinctive tall smokestacks, brick factory buildings, and an American flag prominently displayed in the foreground, representing early 20th-century industrial Corning, New York.","A black and white photograph showing the Corning Glass Works industrial complex with distinctive tall smokestacks, brick factory buildings, and an American flag prominently displayed in the foreground, representing early 20th-century industrial Corning, New York.",Corning Glass Center Buildings,NULL,lh-75-1101.jpg
75-1102,True,description_error; low_confidence(0.78); doubts(1),False,0.78,Industry & Manufacturing,Industry & Manufacturing,industrial chimney; utility poles; power lines; black and white photograph; early 20th century infrastructure,industrial chimney; utility poles; power lines; black and white photograph; early 20th century infrastructure,"A black and white photograph showing a tall industrial chimney or smokestack with visible text markings alongside utility poles and multiple electrical power lines, documenting early industrial infrastructure in Corning, NY.","A black and white photograph of a tall industrial chimney or smokestack with visible text markings, photographed alongside utility poles and multiple electrical power lines, documenting early industrial infrastructure in Corning, NY.",NULL,NULL,lh-75-1102.jpg
75-1104,False,,False,0.95,Industry & Manufacturing,Industry & Manufacturing,pyrex telescope disc; corning glass works; railroad car; industrial product; black and white photograph,pyrex telescope disc; corning glass works; railroad car; industrial product; black and white photograph,"A railroad flatcar displays a large Pyrex 200"" telescope disc made by Corning Glass Works in Corning, NY, with brick industrial buildings visible in the background.","A railroad flatcar displays a large Pyrex 200"" telescope disc made by Corning Glass Works in Corning, NY, with brick industrial buildings visible in the background.",NULL,NULL,lh-75-1104.jpg
75-1105,True,description_error; low_confidence(0.65); doubts(1),False,0.65,Commerce & Business,Commerce & Business,denison park; corning new york; black and white photograph; mid-20th century; street view,denison park; corning new york; black and white photograph; mid-20th century; street view,"A black and white photograph of Denison Park in Corning, NY showing a street view with an ""Ellis Estate"" storefront on the left, mature trees, period buildings, and vintage automobiles typical of the mid-20th century.","A black and white photograph of a street in Corning, NY showing the Ellis Estate storefront on the left, mature trees, period buildings, and vintage automobiles typical of the mid-20th century.","Denison Park, Corning, N.Y. ",NULL,lh-75-1105.jpg
75-1107,True,doubts(2),False,0.88,Streetscapes & Architecture,Streetscapes & Architecture,brick building; institutional architecture; early 20th century; bare trees; black and white photograph,brick building; institutional architecture; early 20th century; bare trees; black and white photograph,"A black and white photograph of a substantial brick institutional building in Corning, NY, featuring multiple stories with regularly spaced windows, two prominent chimneys on the roof, and bare trees in front, likely dating from the early 1900s.","A black and white photograph of a substantial brick institutional building in Corning, NY, featuring multiple stories with regularly spaced windows, two prominent chimneys on the roof, and bare trees in front, likely dating from the early 1900s.",NULL,NULL,lh-75-1107.jpg
75-1109,False,,True,0.85,Commerce & Business,Commerce & Business,theater program; vintage advertisements; early 20th century; East Market Street; Corning NY businesses,theater program; vintage advertisements; early 20th century; East Market Street; Corning NY businesses,"A theater program page from Corning, NY featuring advertisements for local businesses (T.W. Green Plumbing, F.M. Webster Cigar Store, and Phin Gould Cafe and Grill) and a synopsis for a five-act play called ""The Servant in the House"" with a speech by Charles Rann Kennedy, including dialogue from what appears to be a courtroom scene.","A theater program page from Corning, NY featuring advertisements for local businesses (T.W. Green Plumbing, F.M. Webster Cigar Store, and Phin Gould Cafe and Grill) and a synopsis for a five-act play called ""The Servant in the House"" with a speech by Charles Rann Kennedy, including dialogue from what appears to be a courtroom scene.",NULL,NULL,lh-75-1109.jpg
75-1110,True,description_error,True,0.95,Civic Life & Events,Civic Life & Events,concert program; music conservatory; classical compositions; black and white document; vintage performance,concert program; music conservatory; classical compositions; black and white document; vintage performance,"A concert program page titled ""THE PROGRAM"" listing a Haydn Symphony in D major performed by the Conservatory Orchestra, solo pieces by Mr. Lattin and Mr. Fassett, an overture by von Suppe, and a cantata ""Fair Ellen"" by Max Bruch, with various composers including Vieuxtemps, Whelpley, Sidney Homer, Karganoff, and Paganini-Liszt represented.","A concert program page titled ""THE PROGRAM"" listing a Haydn Symphony in D major performed by the Conservatory Orchestra, solo pieces by Mr. Lattin and Mr. Fassett, the overture ""Pique Dame"" by von Suppe, and a cantata ""Fair Ellen"" by Max Bruch, with various composers including Vieuxtemps, Whelpley, Sidney Homer, Karganoff, and Paganini-Liszt represented.",NULL,NULL,lh-75-1110.jpg
75-1111,True,description_error,True,0.95,Civic Life & Events,Civic Life & Events,concert program; classical music; conservatory orchestra; vintage document; black and white text,concert program; classical music; conservatory orchestra; vintage document; black and white text,"A concert program titled ""THE PROGRAM"" featuring Haydn's Symphonie in D major No. 4, performances by the Conservatory Orchestra and soloists Mr. Lattin and Mr. Fassett, with works by composers including Vieuxtemps, Whelpley, Sidney Homer, von Suppe, Karganoff, and Paganini-Liszt, concluding with a presentation of certificates and prizes by Rev. Harold Stanley Stewart.","A concert program titled ""THE PROGRAM"" featuring Haydn's Symphonie in D major No. 4, performances by the Conservatory Orchestra and soloists Mr. Lattin and Mr. Fassett, with works by composers including Vieuxtemps, Whelpley, Sidney Homer, von Suppe, Karganoff, and Paganini-Liszt, concluding with a presentation of certificates, gold medals, scholarships and prizes by Rev. Harold Stanley Stewart.",NULL,NULL,lh-75-1111.jpg
75-1112,True,category_change(Civic Life & Events -> Education),True,0.95,Civic Life & Events,Education,poem; fair ellen; lord edward; scottish ballad; black and white text,poem; fair ellen; lord edward; scottish ballad; black and white text,"A printed page from a literary work displaying the poem ""Fair Ellen"" featuring dialogue between Lord Edward and Fair Ellen, with chorus sections, depicting a Scottish Highland narrative of military conflict and farewell.","A printed page from a literary work displaying the poem ""Fair Ellen"" featuring dialogue between Lord Edward and Fair Ellen, with chorus sections, depicting a Scottish Highland narrative of military conflict and farewell.",NULL,NULL,lh-75-1112.jpg
75-1113,True,description_error; category_change(Civic Life & Events -> Education),False,0.85,Civic Life & Events,Education,printed text; literary excerpt; corning conservatory of music; black and white photograph; archival document,printed text; literary excerpt; corning conservatory of music; black and white photograph; archival document,"A black and white photograph of a printed page containing poetic text about ""The Campbells"" and a character named ""Fair Ellen,"" along with an announcement that the Corning Conservatory of Music will be open for a Summer Session in July.","A black and white photograph of a printed page containing poetic text about ""The Campbells"" and a character named ""Fair Ellen,"" along with an announcement that the Corning Conservatory of Music will be open for the month of July due to requests for a Summer Session.",NULL,NULL,lh-75-1113.jpg
75-1114,True,description_error; category_change(Disasters & Floods -> Streetscapes & Architecture); low_confidence(0.72); doubts(1),False,0.72,Disasters & Floods,Streetscapes & Architecture,centerway bridge; flooded river; corning new york; black and white photograph; 1972 flood,centerway bridge; flooded river; corning new york; black and white photograph; 1972 flood,"This black and white photograph shows the Centerway Bridge in Corning, New York spanning a dramatically swollen river during the 1972 flood, with the bridge's multiple arches visible above the high water level and surrounding landscape visible in the background.","This black and white photograph shows the Centerway Bridge in Corning, New York spanning a river with multiple arches visible above the water level and surrounding landscape visible in the background.","Centerway Bridge, Corning, N.Y. ",1972,lh-75-1114.jpg
75-1115,True,description_error; doubts(1),False,0.85,Disasters & Floods,Disasters & Floods,flooded interior; chain-link fencing; mud and debris; industrial facility; black and white photograph,flooded interior; chain-link fencing; mud and debris; industrial facility; black and white photograph,"This black and white photograph documents flood damage inside what appears to be an industrial facility, showing mud and sediment covering the floor, chain-link fencing, metal gates, and various equipment partially submerged or covered in flood debris from the 1972 Corning, NY floods.","This black and white photograph documents flood damage inside what appears to be an animal enclosure or pen facility, showing mud and sediment covering the floor, chain-link fencing, metal gates, and various equipment or structures partially submerged or covered in flood debris from the 1972 Corning, NY floods.",Corning Glass Works Floods,1972,lh-75-1115.jpg
75-1116,True,description_error; low_confidence(0.78); doubts(1),False,0.78,Disasters & Floods,Disasters & Floods,flood damage; industrial facility; debris; water damage; black and white photograph,flood damage; industrial facility; debris; water damage; black and white photograph,"This black and white photograph documents severe flood damage at the Corning Glass Works facility in 1972, showing destroyed equipment, scattered debris, and standing water throughout the industrial plant with damaged machinery and structural elements visible in the background.","This black and white photograph documents severe flood damage at the Corning Glass Works facility in 1972, showing destroyed equipment, scattered debris, and wet ground throughout the industrial plant with damaged machinery and structural elements visible in the background.",Corning Glass Works Floods,1972,lh-75-1116.jpg
75-1117,True,description_error; low_confidence(0.82),False,0.82,Disasters & Floods,Disasters & Floods,flood damage; corning glass works; debris cleanup; industrial facility; black and white photograph,flood damage; corning glass works; debris cleanup; industrial facility; black and white photograph,"This black and white photograph shows the aftermath of the 1972 Corning flood at the Corning Glass Works facility, with workers clearing mud and debris from the grounds in front of a large industrial building with extensive window panels.","This black and white photograph shows the aftermath of the 1972 Corning flood at the Corning Glass Works facility, with workers sorting and organizing mud, debris, and salvaged materials collected in piles and containers in front of a large industrial building with extensive window panels.",Corning Glass Works Floods,1972,lh-75-1117.jpg
75-1118,False,,False,0.85,Disasters & Floods,Disasters & Floods,aerial view; flooded landscape; 1972 flood; submerged buildings; black and white photograph,aerial view; flooded landscape; 1972 flood; submerged buildings; black and white photograph,"An aerial black and white photograph showing extensive flooding in Corning, NY during the 1972 flood event, with submerged buildings, trees, utility poles, and a partially visible vehicle amid the floodwaters, taken from above the inundated area.","An aerial black and white photograph showing extensive flooding in Corning, NY during the 1972 flood event, with submerged buildings, trees, utility poles, and a partially visible vehicle amid the floodwaters, taken from above the inundated area.",Floods,1972,lh-75-1118.jpg
75-1119,True,description_error,False,0.92,Disasters & Floods,Disasters & Floods,flooded factory interior; industrial machinery; water damage; black and white photograph; mid-20th century,flooded factory interior; industrial machinery; water damage; black and white photograph; mid-20th century,"A black and white photograph showing the interior of an industrial factory in Corning, NY completely flooded with water, with machinery, electrical equipment, and various industrial equipment partially submerged throughout the workspace.","A black and white photograph showing the interior of an industrial factory in Corning, NY with water flooding the floor, with machinery, electrical equipment, and various industrial equipment standing above the water level throughout the workspace.",Floods,NULL,lh-75-1119.jpg
75-1120,False,,False,0.92,Disasters & Floods,Disasters & Floods,flood damage; industrial facility; debris; corning glass works; black and white photograph,flood damage; industrial facility; debris; corning glass works; black and white photograph,"This black and white photograph documents the interior of the Corning Glass Works facility following the 1972 flood, showing extensive debris, damaged machinery, twisted metal, and scattered equipment throughout the factory floor.","This black and white photograph documents the interior of the Corning Glass Works facility following the 1972 flood, showing extensive debris, damaged machinery, twisted metal, and scattered equipment throughout the factory floor.",Corning Glass Works Floods,1972,lh-75-1120.jpg
75-1121,True,description_error; category_change(Disasters & Floods -> Streetscapes & Architecture); low_confidence(0.75); doubts(2),False,0.75,Disasters & Floods,Streetscapes & Architecture,bonady's produce market; flood damage; 1972; corning ny; black and white photograph,bonady's produce market; flood damage; 1972; corning ny; black and white photograph,"This black and white photograph shows Bonady's Produce Market in Corning, NY after flood damage in 1972, with the storefront displaying signage for ""Fruits and Vegetables Wholesale and Retail"" and visible structural damage to the building's exterior.","This black and white photograph shows Bonady's Produce Market in Corning, NY with structural damage to the building, including a collapsed roof section on the left side, boarded windows, and debris on the ground, with the storefront displaying signage for ""Fruits and Vegetables Wholesale and Retail"".",Bonady's Market,1972,lh-75-1121.jpg
75-1122,True,description_error; tags_error; doubts(1),False,0.85,Disasters & Floods,Disasters & Floods,flooded street; 1972 flood damage; abandoned vehicles; commercial district; black and white photograph,flood damage; 1972 flood aftermath; damaged vehicles; commercial district; black and white photograph,"This black and white photograph documents flood damage in Corning, NY from 1972, showing a flooded street with abandoned and damaged automobiles, overturned debris, residential and commercial buildings, and a visible sign reading ""CARS TRUCKS OPEN"" amid the disaster scene.","This black and white photograph documents flood damage in Corning, NY from 1972, showing a street with damaged and displaced automobiles, debris, residential and commercial buildings, and a visible sign reading ""CARS TRUCKS OPEN"" amid the disaster scene.",Floods,1972,lh-75-1122.jpg
75-1123,True,description_error,False,0.85,Disasters & Floods,Disasters & Floods,flooded landscape; trees submerged; 1972 flood; black and white photograph; aerial view,flooded landscape; trees submerged; 1972 flood; black and white photograph; aerial view,"An aerial view of the 1972 Corning flood showing trees and vegetation partially submerged in floodwaters, with a forested shoreline visible in the upper right corner.","An aerial view of the 1972 Corning flood showing trees and vegetation submerged in floodwaters, with a forested shoreline visible in the upper portion of the image.",Floods,1972,lh-75-1123.jpg
75-1124,True,description_error; tags_error,False,0.92,Disasters & Floods,Disasters & Floods,flooded street; submerged vehicles; 1972 flood; corning ny; black and white photograph,flooded street; submerged vehicles; 1972 flood; corning ny; black and white photograph,"An aerial view of a flooded Corning, New York street from 1972 showing multiple automobiles partially submerged in floodwaters, with buildings visible in the background during what appears to be the devastating flood event that affected the area.","A ground-level view of a flooded Corning, New York street from 1972 showing multiple automobiles partially submerged in floodwaters, with buildings visible in the background during what appears to be the devastating flood event that affected the area.",Floods,1972,lh-75-1124.jpg
75-1125,False,,False,0.92,Disasters & Floods,Disasters & Floods,flooded residential neighborhood; submerged houses; 1970s automobile; black and white photograph; flood damage,flooded residential neighborhood; submerged houses; 1970s automobile; black and white photograph; flood damage,"A black and white photograph documenting the 1972 flood in Corning, NY, showing residential houses with water reaching basement and first-floor windows, a partially submerged 1970s station wagon in the foreground, and utility poles amid the floodwaters.","A black and white photograph documenting the 1972 flood in Corning, NY, showing residential houses with water reaching basement and first-floor windows, a partially submerged 1970s station wagon in the foreground, and utility poles amid the floodwaters.",Floods,1972,lh-75-1125.jpg
75-1126,True,description_error; low_confidence(0.78); doubts(1),False,0.78,Disasters & Floods,Disasters & Floods,flood damage; residential building; debris; black and white photograph; 1972,flood damage; residential building; debris; black and white photograph; 1972,"A black and white photograph showing a white-sided residential structure with visible flood damage, debris scattered at its foundation, and downed power lines, documenting the aftermath of the 1972 flood in Corning, NY.","A black and white photograph showing a white-sided residential structure with visible flood damage, debris piled against its foundation and lower wall, and power lines, documenting the aftermath of the 1972 flood in Corning, NY.",Floods,1972,lh-75-1126.jpg
75-1127,False,,False,0.92,Disasters & Floods,Disasters & Floods,flood damage; tastee-freez restaurant; debris; 1972 disaster; black and white photograph,flood damage; tastee-freez restaurant; debris; 1972 disaster; black and white photograph,"A damaged Tastee-Freez restaurant in Corning, NY surrounded by flood debris and wreckage, with a person standing in the foreground, documenting the destruction from the 1972 flood.","A damaged Tastee-Freez restaurant in Corning, NY surrounded by flood debris and wreckage, with a person standing in the foreground, documenting the destruction from the 1972 flood.",Floods,1972,lh-75-1127.jpg
75-1128,True,description_error,False,0.92,Disasters & Floods,Disasters & Floods,flooded street; utility poles; debris; bare trees; black and white photograph,flooded street; utility poles; debris; bare trees; black and white photograph,"A black and white photograph documenting severe flooding in Corning, NY during 1972, showing a completely submerged street with utility poles, scattered debris and logs in the floodwaters, bare trees lining the road, and buildings partially visible in the background.","A black and white photograph documenting severe flooding in Corning, NY during 1972, showing a flooded street with utility poles, scattered logs in the floodwaters, bare trees lining the road, and buildings partially visible in the background.",Floods,1972,lh-75-1128.jpg
75-1129,True,description_error,False,0.85,Disasters & Floods,Disasters & Floods,flooded river; steel bridge; 1972 flood; corning ny; black and white photograph,flooded river; steel bridge; 1972 flood; corning ny; black and white photograph,"A steel truss bridge spans a swollen river during the 1972 flood in Corning, New York, with floodwaters surrounding the bridge supports and hills visible in the misty background.","A damaged steel truss bridge, with sagging and twisted spans, crosses a swollen river during the 1972 flood in Corning, New York, with floodwaters surrounding the bridge supports and hills visible in the misty background.",Floods,1972,lh-75-1129.jpg
75-1130,True,description_error,False,0.92,Disasters & Floods,Disasters & Floods,flooded river; metal bridge; 1972 flood; trees; black and white photograph,flooded river; metal bridge; 1972 flood; trees; black and white photograph,"A black and white photograph showing a metal truss bridge partially submerged in floodwaters during the 1972 Corning, NY flood, with trees visible along the riverbank and in the background.","A black and white photograph showing a metal truss bridge spanning floodwaters during the 1972 Corning, NY flood, with trees visible along the riverbank and in the background.",Floods,1972,lh-75-1130.jpg
75-1131,True,description_error; tags_error; low_confidence(0.82); doubts(1),False,0.82,Disasters & Floods,Disasters & Floods,flood damage; destroyed building; debris; forest; black and white photograph,flood damage; destroyed building; debris; black and white photograph,"A severely damaged structure lies collapsed among scattered debris and rocks in a forested area, documenting destruction from the 1972 flood that affected Corning, NY.","A severely damaged structure lies collapsed among scattered debris and rocks in a cleared area, with forest visible in the background, documenting destruction from the 1972 flood that affected Corning, NY.",Floods,1972,lh-75-1131.jpg
75-1132,True,description_error,False,0.85,Disasters & Floods,Disasters & Floods,flooded residential area; brick buildings; 1972 flood; black and white photograph; corning ny,flooded residential area; brick buildings; 1972 flood; black and white photograph; corning ny,"This black and white photograph documents severe flooding in Corning, NY during the 1972 flood event, showing brick residential buildings partially submerged in floodwater with reflections visible on the water's surface.","This black and white photograph documents severe flooding in Corning, NY during the 1972 flood event, showing stone residential buildings surrounded by floodwater with reflections visible on the water's surface.",Floods,1972,lh-75-1132.jpg
75-1133,True,description_error,False,0.85,Disasters & Floods,Disasters & Floods,flood damage; destroyed building; debris; black and white photograph; 1972,flood damage; destroyed building; debris; black and white photograph; 1972,"A black and white photograph showing a severely damaged structure with its roof partially collapsed and surrounded by scattered debris and wreckage, documenting flood damage from 1972 in Corning, NY.","A black and white photograph showing a structure with damage to its lower section and foundation, surrounded by scattered debris and wreckage, documenting flood damage from 1972 in Corning, NY.",Floods,1972,lh-75-1133.jpg
75-1134,True,description_error; doubts(2),False,0.85,Disasters & Floods,Disasters & Floods,flood damage; residential structure; mud and debris; 1972 disaster; black and white photograph,flood damage; residential structure; mud and debris; 1972 disaster; black and white photograph,"A 1972 flood-damaged residential building in Corning, NY shows mud and debris surrounding the structure, with a door hanging open and various materials scattered about, documenting the aftermath of the flooding event.","A truck has crashed into a residential building in Corning, NY, with the vehicle's cab embedded in the structure's wall, surrounded by mud and debris on the ground.",Floods,1972,lh-75-1134.jpg
75-1135,True,description_error; low_confidence(0.78); doubts(1),False,0.78,Disasters & Floods,Disasters & Floods,flood damage; destroyed building; 1972 disaster; corning ny; black and white photograph,flood damage; destroyed building; 1972 disaster; corning ny; black and white photograph,"This black and white photograph documents severe flood damage to a two-story white building in Corning, NY, showing structural destruction with collapsed sections and debris scattered around the foundation, likely from the devastating 1972 flood event.","This black and white photograph documents severe flood damage to a three-story white building in Corning, NY, showing structural destruction with collapsed sections and debris scattered around the foundation, likely from the devastating 1972 flood event.",Floods,1972,lh-75-1135.jpg
75-1136,True,description_error; low_confidence(0.72); doubts(1),False,0.72,Disasters & Floods,Disasters & Floods,flood damage; debris; residential area; 1972 flood; black and white photograph,flood damage; debris; residential area; 1972 flood; black and white photograph,"This black and white photograph documents flood damage in Corning, NY from 1972, showing destroyed residential buildings, scattered logs and debris, and a two-story house in the background amid the devastation left by floodwaters.","This black and white photograph documents flood damage in Corning, NY from 1972, showing damaged residential buildings with scattered logs and debris in the foreground, and a two-story house visible in the background amid the devastation left by floodwaters.",Floods,1972,lh-75-1136.jpg
75-1137,True,description_error; low_confidence(0.78); doubts(1),False,0.78,Disasters & Floods,Disasters & Floods,flooded area; industrial buildings; 1972 flood; black and white photograph; debris and water damage,flooded area; industrial buildings; 1972 flood; black and white photograph; debris and water damage,"A black and white photograph documenting flood damage in Corning, NY from 1972, showing industrial structures partially submerged in floodwater with debris-covered ground in the foreground and damaged buildings visible in the background.","A black and white photograph documenting flood damage in Corning, NY from 1972, showing industrial structures standing above floodwater with silt and debris deposits in the foreground and water visible in the middle ground.",Floods,1972,lh-75-1137.jpg
75-1138,False,,False,0.85,Disasters & Floods,Disasters & Floods,flooded buildings; 1972 flood; residential structures; black and white photograph; water damage,flooded buildings; 1972 flood; residential structures; black and white photograph; water damage,"A black and white photograph showing residential buildings partially submerged in floodwaters during the 1972 Corning, NY flood, with trees and utility poles visible in the background.","A black and white photograph showing residential buildings partially submerged in floodwaters during the 1972 Corning, NY flood, with trees and utility poles visible in the background.",Floods,1972,lh-75-1138.jpg
75-1139,False,,False,0.95,Disasters & Floods,Disasters & Floods,flooded building; milkshakes bar-b-os; 1972 flood damage; corning ny; black and white photograph,flooded building; milkshakes bar-b-os; 1972 flood damage; corning ny; black and white photograph,"A damaged milkshake and barbecue restaurant building with debris scattered around it and a person standing in front, documenting flood damage from the 1972 Corning, New York flood.","A damaged milkshake and barbecue restaurant building with debris scattered around it and a person standing in front, documenting flood damage from the 1972 Corning, New York flood.",Floods,1972,lh-75-1139.jpg
75-1140,True,description_error,False,0.92,Disasters & Floods,Disasters & Floods,flooded street; debris; 1970s automobiles; downtown corning; black and white photograph,flooded street; debris; 1970s automobiles; downtown corning; black and white photograph,"This black and white photograph from 1972 shows a flooded downtown Corning street lined with commercial buildings and debris scattered across the foreground, with parked vehicles partially submerged in floodwater, documenting the aftermath of the devastating flood that affected the area.","This black and white photograph from 1972 shows a flooded downtown Corning street lined with commercial buildings and debris scattered across the foreground, with parked vehicles on dry ground amid floodwater visible in the background, documenting the aftermath of the devastating flood that affected the area.",Floods,1972,lh-75-1140.jpg
